
Epoch 1/15 | LR: 0.001000
--------------------------------------------------
  batch 3850 | loss: 0.1955 | acc: 0.8750
  batch 3900 | loss: 0.1222 | acc: 1.0000
  batch 3950 | loss: 0.3925 | acc: 0.7500
  batch 4000 | loss: 0.1354 | acc: 0.8750
  batch 4050 | loss: 0.1851 | acc: 0.8750
  batch 4100 | loss: 0.3143 | acc: 0.8750
  batch 4150 | loss: 0.3881 | acc: 0.7500
  batch 4200 | loss: 0.7327 | acc: 0.6250
  batch 4250 | loss: 0.1600 | acc: 1.0000
  batch 4300 | loss: 0.3478 | acc: 0.8750
  batch 4350 | loss: 0.3245 | acc: 0.8750
  batch 4400 | loss: 0.1157 | acc: 1.0000
  batch 4450 | loss: 0.1667 | acc: 1.0000
  batch 4500 | loss: 0.4004 | acc: 0.7500
  batch 4550 | loss: 0.4572 | acc: 0.8750
  batch 4600 | loss: 0.1117 | acc: 0.8750
  batch 4650 | loss: 0.2994 | acc: 0.8750
  batch 4700 | loss: 0.8514 | acc: 0.7500
  batch 4750 | loss: 0.4618 | acc: 0.7500
  TRAIN — Loss: 0.3944 | Acc: 0.8105
  VAL   — Loss: 0.2480 | Acc: 0.8932
  ⭐ New best! Saved best.pth (acc=0.8932)

Epoch 4/15 | LR: 0.000090
--------------------------------------------------
  batch 50 | loss: 0.3509 | acc: 0.8750
  batch 100 | loss: 0.2182 | acc: 0.8750
  batch 150 | loss: 0.3489 | acc: 0.8750
  batch 200 | loss: 0.0942 | acc: 1.0000
  batch 250 | loss: 0.0829 | acc: 1.0000
  batch 300 | loss: 0.2151 | acc: 0.7500
  batch 350 | loss: 0.1163 | acc: 1.0000
  batch 400 | loss: 0.1429 | acc: 1.0000
  batch 450 | loss: 0.1886 | acc: 1.0000
  batch 500 | loss: 0.3021 | acc: 0.8750
  batch 550 | loss: 0.8718 | acc: 0.8750
  batch 600 | loss: 0.0531 | acc: 1.0000
  batch 650 | loss: 0.3580 | acc: 0.8750
  batch 700 | loss: 0.0901 | acc: 1.0000
  batch 750 | loss: 0.2742 | acc: 0.8750
  batch 800 | loss: 0.3904 | acc: 0.7500
  batch 850 | loss: 0.0184 | acc: 1.0000
  batch 900 | loss: 0.2806 | acc: 0.8750
  batch 950 | loss: 0.0818 | acc: 1.0000
  batch 1000 | loss: 0.0749 | acc: 1.0000
  batch 1050 | loss: 0.4432 | acc: 0.7500
  batch 1100 | loss: 0.1311 | acc: 1.0000
  batch 1150 | loss: 0.0344 | acc: 1.0000
  batch 1200 | loss: 0.2661 | acc: 0.8750
  batch 1250 | loss: 0.2173 | acc: 0.8750
  batch 1300 | loss: 0.0090 | acc: 1.0000
  batch 1350 | loss: 0.0953 | acc: 1.0000
  batch 1400 | loss: 0.4012 | acc: 0.7500
  batch 1450 | loss: 0.1514 | acc: 0.8750
  batch 1500 | loss: 0.2580 | acc: 0.8750
  batch 1550 | loss: 0.2748 | acc: 0.8750
  batch 1600 | loss: 0.0999 | acc: 1.0000
  batch 1650 | loss: 0.2517 | acc: 0.7500
  batch 1700 | loss: 0.0548 | acc: 1.0000
  batch 1750 | loss: 0.1806 | acc: 1.0000
  batch 1800 | loss: 0.3636 | acc: 0.7500
  batch 1850 | loss: 0.1843 | acc: 1.0000
  batch 1900 | loss: 0.0778 | acc: 1.0000
  batch 1950 | loss: 0.0992 | acc: 1.0000
  batch 2000 | loss: 0.1668 | acc: 1.0000
  batch 2050 | loss: 0.1980 | acc: 1.0000
  batch 2100 | loss: 0.0547 | acc: 1.0000
  batch 2150 | loss: 0.1691 | acc: 1.0000
  batch 2200 | loss: 0.4959 | acc: 0.7500
  batch 2250 | loss: 0.6670 | acc: 0.7500
  batch 2300 | loss: 0.1534 | acc: 0.8750
  batch 2350 | loss: 0.4865 | acc: 0.7500
  batch 2400 | loss: 0.5587 | acc: 0.6250
  batch 2450 | loss: 0.1393 | acc: 1.0000
  batch 2500 | loss: 0.0094 | acc: 1.0000
  batch 2550 | loss: 0.2657 | acc: 0.8750
  batch 2600 | loss: 0.0870 | acc: 1.0000
  batch 2650 | loss: 0.0735 | acc: 1.0000
  batch 2700 | loss: 0.7743 | acc: 0.7500
  batch 2750 | loss: 0.0454 | acc: 1.0000
  batch 2800 | loss: 0.2078 | acc: 0.8750
  batch 2850 | loss: 0.2827 | acc: 0.8750
  batch 2900 | loss: 0.0330 | acc: 1.0000
  batch 2950 | loss: 0.0905 | acc: 1.0000
  batch 3000 | loss: 0.1324 | acc: 1.0000
  batch 3050 | loss: 0.3911 | acc: 0.7500
  batch 3100 | loss: 0.2066 | acc: 0.8750
  batch 3150 | loss: 0.1901 | acc: 0.8750
  batch 3200 | loss: 0.0568 | acc: 1.0000
  batch 3250 | loss: 0.0278 | acc: 1.0000
  batch 3300 | loss: 0.1848 | acc: 0.8750
